,wav,sentence,label
85,Ses01F_impro03_M008,Yeah.,neu
86,Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,hap
87,Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu
88,Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,hap
89,Ses01F_impro03_M010,Yeah.  Think about that.,xxx
90,Ses01F_impro03_F011,"He's not going to be a citizen, though.",xxx
91,Ses01F_impro03_M011,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neu
92,Ses01F_impro03_F012,Oh.  Totally.,hap
93,Ses01F_impro03_M012,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",xxx
94,Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],hap
95,Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],hap
96,Ses01F_impro03_F014,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,xxx
97,Ses01F_impro03_M014,Is that your phone?,hap
98,Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",exc
99,Ses01F_impro03_M015,He loves you.,hap
100,Ses01F_impro03_F016,"He likes to keep tabs, you know.",hap
101,Ses01F_impro03_M016,How much did he win at the slot?,neu
102,Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",neu
103,Ses01F_impro03_M017,Really? Penny slots?,sur
104,Ses01F_impro03_F018,Penny slots. That's what he plays.,neu
105,Ses01F_impro03_M018,Wow.,sur
106,Ses01F_impro03_F019,Yeah.,neu
107,Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neu
108,Ses01F_impro03_F020,Oh.,xxx
109,Ses01F_impro03_F021,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,hap
110,Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu
111,Ses01F_impro03_F022,Fifty bucks. Mmhmm.,neu
112,Ses01F_impro03_M021,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neu
113,Ses01F_impro03_F023,Yeah.,neu
114,Ses01F_impro03_F024,Well so now we're married. We have cat children.,hap
115,Ses01F_impro03_M022,Awesome.,exc
116,Ses01F_impro03_M023,[LAUGHTER] Cat babies.,hap
117,Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",hap
118,Ses01F_impro03_M024,That's fair enough.,neu
119,Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],hap
120,Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",neu
121,Ses01F_impro04_F000,"Uh, what?  Craig's List?  Oh the internet thing?",neu
122,Ses01F_impro04_M001,Yeah.,neu
123,Ses01F_impro04_F001,I don't know.  Isn't that-- that's all like escort services and things like that.,neu
124,Ses01F_impro04_M002,No.  There's regular jobs on there.,neu
125,Ses01F_impro04_F002,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",fru
126,Ses01F_impro04_M003,Uh huh.,neu
127,Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu
128,Ses01F_impro04_F003,What kind of a job?,xxx
129,Ses01F_impro04_M005,He's like a manager for a theatre.,neu
130,Ses01F_impro04_F004,Really?,xxx
131,Ses01F_impro04_M006,He's like a house manager. Yeah.  It's a good job.,neu
132,Ses01F_impro04_F005,He just...,neu
133,Ses01F_impro04_F006,you know what?  I heard about that job.  I applied for that.,neu
134,Ses01F_impro04_M007,You did?,neu
135,Ses01F_impro04_F007,Yeah.  I saw a posting at the theatre.,fru
136,Ses01F_impro04_M008,Yeah.,neu
137,Ses01F_impro04_F008,He got it?,xxx
138,Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago.  Right?,neu
139,Ses01F_impro04_F009,Yeah.,neu
140,Ses01F_impro04_M010,Hmm.,neu
141,Ses01F_impro04_F010,What did he do?  What was so great?  I don't understand why they would pick him over me.,xxx
142,Ses01F_impro04_M011,I don't know.  He had a really good resume I guess and--,neu
143,Ses01F_impro04_F011,A resume?,xxx
144,Ses01F_impro04_M012,Yeah.  Do you have a resume?,neu
145,Ses01F_impro04_F012,No.,xxx
146,Ses01F_impro04_M013,It's kind of helpful when getting a job.,neu
147,Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,neu
148,Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu
149,Ses01F_impro04_F014,Yeah.,neu
150,Ses01F_impro04_F015,I don't like- I don't like sending things in the mail.  I don't want my information out there.,xxx
151,Ses01F_impro04_M015,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu
152,Ses01F_impro04_F016,I'm there in front of them.  I'm telling them what I'm good at.,fru
153,Ses01F_impro04_M016,"Yeah.  But the piece of paper helps, too.",neu
154,Ses01F_impro04_F017,Why?  It's a piece of paper.,fru
155,Ses01F_impro04_M017,"No.  But it has an outline, you know.",neu
156,Ses01F_impro04_F018,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",fru
157,Ses01F_impro04_M018,"I know.  Okay.  Well, um. Maybe--",neu
158,Ses01F_impro04_F019,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",fru
159,Ses01F_impro04_M019,Yeah.,neu
160,Ses01F_impro04_M020,"Okay, yeah.  I would imagine.",neu
161,Ses01F_impro04_F020,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,xxx
162,Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu
163,Ses01F_impro04_F021,"That's baloney, that's baloney.",fru
164,Ses01F_impro04_F022,Please.,fru
165,Ses01F_impro04_M022,maybe get a car.,neu
166,Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",neu
167,Ses01F_impro04_F023,you think that you're better than me because I don't have a car?,fru
168,Ses01F_impro04_M024,I didn't say that.,neu
169,Ses01F_impro04_F024,"You know, you're riding the bus, too.",fru
170,Ses01F_impro04_M025,"I am riding the bus, but by choice.",neu
171,Ses01F_impro04_F025,Why?  What choice?,fru
172,Ses01F_impro04_M026,"To save the environment, carpool.",neu
173,Ses01F_impro04_F026,You're saving the environment. mmhmm,fru
174,Ses01F_impro04_M027,Yes.  One less car at a time.,neu
175,Ses01F_impro04_F027,Interesting.  That's fantastic.,fru
176,Ses01F_impro04_M028,Mmhmm.,neu
177,Ses01F_impro04_M029,"You know, you don't have to take out your frustration on me, you know, just because...",fru
178,Ses01F_impro04_F028,I'm not frustrated.,ang
179,Ses01F_impro04_M030,...you can't get a job and refuse to have a resume.,fru
180,Ses01F_impro04_F029,Who do you think you are?,ang
181,Ses01F_impro04_M031,I don't think I'm anyone.,neu
182,Ses01F_impro04_F030,You are so high and mighty.  I just--,ang
183,Ses01F_impro04_M032,I- I-I didn't-- okay.,neu
184,Ses01F_impro04_F031,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,ang
185,Ses01F_impro04_M033,What?  No.,xxx
186,Ses01F_impro04_M034,What? Oh.  So now you're...,fru
187,Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",ang
188,Ses01F_impro04_M035,you know what?  You don't have to take your anger and your hurt out on me.,fru
189,Ses01F_impro04_F033,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,ang
190,Ses01F_impro04_M036,Why not?,xxx
191,Ses01F_impro05_F000,Hi.,fru
192,Ses01F_impro05_M000,Hi.  Thanks for waiting.,neu
193,Ses01F_impro05_F001,Yeah. This is the fourth line that I have been in.,fru
194,Ses01F_impro05_M001,Can I help you?,hap
195,Ses01F_impro05_M002,Uh huh.,hap
196,Ses01F_impro05_F002,I need my bag.,fru
197,Ses01F_impro05_M003,Okay.,neu
198,Ses01F_impro05_F003,"I flew in over three hours ago, I've been in four different lines.",fru
199,Ses01F_impro05_M004,Okay.,neu
200,Ses01F_impro05_F004,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,fru
201,Ses01F_impro05_M005,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neu
202,Ses01F_impro05_F005,Nash.,fru
203,Ses01F_impro05_M006,Okay.,neu
204,Ses01F_impro05_F006,No G.,xxx
205,Ses01F_impro05_M007,all right- okay.  And you lost your bag? Is that- that the issue?,neu
206,Ses01F_impro05_F007,Yes.,fru
207,Ses01F_impro05_F008,Flight seven fourteen.,ang
208,Ses01F_impro05_M008,Uh-huh.,neu
209,Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang
210,Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",neu
211,Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu
212,Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neu
213,Ses01F_impro05_F010,"Oh, Are you kidding me?",xxx
214,Ses01F_impro05_M012,"for such an inconvenience and your bag, but",neu
215,Ses01F_impro05_F011,Is this a joke?,ang
216,Ses01F_impro05_M013,Yeah.,neu
217,Ses01F_impro05_M014,"No, no.",neu
218,Ses01F_impro05_F012,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",ang
219,Ses01F_impro05_M015,"No, no.  This is real.",neu
220,Ses01F_impro05_F013,So you'll give me money and then I'll get my bag?,xxx
221,Ses01F_impro05_M016,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neu
222,Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu
223,Ses01F_impro05_F014,"You're kidding me, this is a joke.",ang
224,Ses01F_impro05_M018,"Once again, I'm really- I'm really sorry.",xxx
225,Ses01F_impro05_F015,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,ang
226,Ses01F_impro05_M019,Yes.,neu
227,Ses01F_impro05_M020,I know.,neu
228,Ses01F_impro05_F016,We flew in from Paris.  I've been shopping for three weeks.,ang
229,Ses01F_impro05_M021,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",xxx
230,Ses01F_impro05_F017,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang
231,Ses01F_impro05_M022,Okay. Calm-,neu
232,Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu
233,Ses01F_impro05_F018,Do you understand who my husband is?,ang
234,Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang
235,Ses01F_impro05_M024,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neu
236,Ses01F_impro05_F020,Oh-Oh.  It's a gift.  You're-You're helping me out here?,ang
237,Ses01F_impro05_M025,It's a gift.,neu
238,Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu
239,Ses01F_impro05_F021,You are cruising for a bruising.  You are in so much trouble.,ang
240,Ses01F_impro05_M027,With the amount of--,neu
241,Ses01F_impro05_F022,Who's in charge?  Who is the president of Jet Blue?,ang
242,Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",neu
243,Ses01F_impro05_F023,Because I probably know him.,ang
244,Ses01F_impro05_F024,Yeah.,ang
245,Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neu
246,Ses01F_impro05_F025,"I don't want money, I want my clothes.",ang
247,Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu
248,Ses01F_impro05_F026,What's your name?,ang
249,Ses01F_impro05_M031,Oh.  My name is Sean. Hi.,neu
250,Ses01F_impro05_F027,Sean.  Great. Do you have a badge number or something?,xxx
251,Ses01F_impro05_M032,"Badge number?  Uh, no.  You can just take my employee number I guess.",sur
252,Ses01F_impro05_F028,Okay.  I'll do that.,ang
253,Ses01F_impro05_M033,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,sur
254,Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,ang
255,Ses01F_impro05_M034,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neu
256,Ses01F_impro05_F030,A letter? I'll make a personal phone call.,ang
257,Ses01F_impro05_M035,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neu
258,Ses01F_impro06_M000,"I'm sorry, Joy.",sad
259,Ses01F_impro06_F000,It's okay.,xxx
260,Ses01F_impro06_M001,Is there anything I can get you?  Do you want me to take care of anything for you or...?,neu
261,Ses01F_impro06_F001,"No, no, no.",xxx
262,Ses01F_impro06_M002,...pick up anything?,neu
263,Ses01F_impro06_F002,No.,sad
264,Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad
265,Ses01F_impro06_F003,That's sweet.,neu
266,Ses01F_impro06_F004,Thank you.,neu
267,Ses01F_impro06_F005,I went to see her headstone a week or two ago.,sad
268,Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad
269,Ses01F_impro06_M004,Hmm.,neu
270,Ses01F_impro06_F007,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sad
271,Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sad
272,Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",neu
273,Ses01F_impro06_M005,Oh.  She was there?,neu
274,Ses01F_impro06_F010,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",sad
275,Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",sad
276,Ses01F_impro06_M006,Mmhmm.,neu
277,Ses01F_impro06_F012,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",sad
278,Ses01F_impro06_M007,Yeah.,sad
279,Ses01F_impro06_F013,I don't know.,sad
280,Ses01F_impro06_M008,How long were you there for?,neu
281,Ses01F_impro06_F014,At the cemetery?,sad
282,Ses01F_impro06_M009,Mmhmm.,neu
283,Ses01F_impro06_F015,couple hours.,sad
284,Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",neu
285,Ses01F_impro06_M010,Oh really?,neu
286,Ses01F_impro06_M011,You ran through the sprinklers in the cemetery?,neu
287,Ses01F_impro06_F017,It was hot.[LIPSMACK],xxx
288,Ses01F_impro06_M012,Is it a big cemetery?,neu
289,Ses01F_impro06_F018,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neu
290,Ses01F_impro06_M013,"Oh, so they're like really old too, really old ones?",neu
291,Ses01F_impro06_F019,Yeah.,neu
292,Ses01F_impro06_F020,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",sad
293,Ses01F_impro06_F021,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",sad
294,Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,sad
295,Ses01F_impro06_M014,Mmhmm.,neu
296,Ses01F_impro06_F023,Umm. Yeah.,sad
297,Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",sad
298,Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",sad
299,Ses01F_impro06_M015,Mmhmm.,neu
300,Ses01F_impro06_F026,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad
301,Ses01F_impro06_M016,So she wrote a lot of poetry?,neu
302,Ses01F_impro06_F027,"There's another one, I can't remember.",neu
303,Ses01F_impro06_F028,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",sad
304,Ses01F_impro06_M017,Mmhmm.Mmhmm.Mmhmm.,xxx
305,Ses01F_impro07_M000,Did you get the letter?,exc
306,Ses01F_impro07_F000,"Yes.  There's a big envelope it says, you're in. I know.",exc
307,Ses01F_impro07_M001,Yeah. That is so awesome.,exc
308,Ses01F_impro07_M002,Oh my God. What are you going to do? [LAUGHTER],exc
309,Ses01F_impro07_F001,So I have to move back to the ghetto but...I know.,xxx
310,Ses01F_impro07_M003,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",exc
311,Ses01F_impro07_F002,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",exc
312,Ses01F_impro07_M004,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",exc
313,Ses01F_impro07_F003,"Oh- I know, I know, I know, I know.",exc
314,Ses01F_impro07_F004,"I don't know.  I spend so much time commuting as it is, I'd rather.",exc
315,Ses01F_impro07_M005,This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,exc
316,Ses01F_impro07_F005,I know. We should throw a party.,exc
317,Ses01F_impro07_F006,"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",xxx
318,Ses01F_impro07_M006,A rapper party ho. Yeah. Okay.,exc
319,Ses01F_impro07_M007,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",exc
320,Ses01F_impro07_F007,It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,xxx
321,Ses01F_impro07_M008,Yeah.  Big time.,exc
322,Ses01F_impro07_M009,Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,exc
323,Ses01F_impro07_F008,"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",xxx
324,Ses01F_impro07_M010,"Oh, okay.",xxx
325,Ses01F_impro07_M011,Ooh. Fancy.,xxx
326,Ses01F_impro07_F009,Yeah.  I'm not sure.,exc
327,Ses01F_impro07_M012,Is this a Masters or a P.h.D.?  Or can you...? Nice,neu
328,Ses01F_impro07_F010,Umm...P.h.D. [LAUGHTER],exc
329,Ses01F_impro07_M013,"That's good.  Don't you have to like teach a class, too, when you do that?",neu
330,Ses01F_impro07_F011,"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",xxx
331,Ses01F_impro07_M014,"Teacher. Mrs. Nash, I have a question.",exc
332,Ses01F_impro07_F012,So I get to mold young minds. Mrs.?  That's my mother.,exc
333,Ses01F_impro07_M015,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,exc
334,Ses01F_impro07_F013,"I would be like- Oh. Right, right, right.",exc
335,Ses01F_impro07_M016,"Mrs. Nash.  That's so awesome, though.",xxx
336,Ses01F_impro07_F014,"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",xxx
337,Ses01F_impro07_M017,Yay...School's fun.,exc
338,Ses01F_impro07_M018,"Of course, right.  That's where the real money is, being a student.",neu
339,Ses01F_impro07_F015,Yeah.  Totally. [LAUGHTER],xxx
340,Ses01F_impro07_M019,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,hap
341,Ses01F_impro07_F016,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",exc
342,Ses01F_script01_1_F000,What's he going to say?,fru
343,Ses01F_script01_1_F001,Maybe we should tell him before he sees it.,xxx
344,Ses01F_script01_1_M000,He saw it.,neu
345,Ses01F_script01_1_F002,How could he see it?  I was the first one up; he was still in bed.,sur
346,Ses01F_script01_1_M001,He was out here when it broke.,neu
347,Ses01F_script01_1_F003,When?,xxx
348,Ses01F_script01_1_M002,Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,neu
349,Ses01F_script01_1_F004,What was he doing out here at four o clock in the morning?,xxx
350,Ses01F_script01_1_M003,I don't know.,neu
351,Ses01F_script01_1_F005,"He's dreaming of him again, walking around.",neu
352,Ses01F_script01_1_M004,I guess he is.,neu
353,Ses01F_script01_1_F006,It's getting to be just like after he died.  What's the meaning of that?,xxx
354,Ses01F_script01_1_M005,"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",fru
355,Ses01F_script01_1_F007,What?,xxx
356,Ses01F_script01_1_M006,"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",xxx
357,Ses01F_script01_1_F008,What do you mean dishonest?,xxx
358,Ses01F_script01_1_M007,You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,neu
359,Ses01F_script01_1_F009,What do you want to do?  Argue with him?,fru
360,Ses01F_script01_1_M008,I don't want to argue but it's time he realized that nobody believes Larry is alive.,fru
